"%s was successfully added to your shopping cart.","%s wurde erfolgreich in den Warenkorb gelegt."
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Estimate Shipping and Tax","Versandkosten (geschätzt)"
"Excl. Tax","zzgl. Steuern"
"Fast and easy check out","Schneller und einfacher Bestellvorgang"
"Fax","Fax"
"Forgot an Item?","Artikel vergessen?"
"Forgot your password?","Passwort vergessen?"
"Get a Quote","geschätzte Kosten anzeigen"
"Grand Total:","Gesamtsumme:"
"Grouped product image","Abbildung für kombiniertes Produkt"
"HTML","HTML"
"ID","ID"
"Incl. Tax","inkl. Steuern"
"Invalid data","Ungültiger Wert"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid shipping method.","Ungültige Versandart."
"Items","Artikel"
"Load customer quote error","Fehler beim Laden des Kundenangebots"
"Loading next step...","Der nächste Schritt wird geladen..."
"Login","Anmelden"
"Manage Checkout Terms and Conditions","Allgemeine Geschäftsbedingungen"
"Maximum display Recently added item(s)","Maximum display Recently added item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximalmenge für den Versand an mehrere Adressen ist: %s"
"Move to Wishlist","Auf den Wunschzettel"
"My Account","Mein Benutzerkonto"
"My Cart","Mein Warenkorb"
"My Cart (%s item)","Mein Warenkorb (%s Artikel)"
"My Cart (%s items)","Mein Warenkorb (%s Artikel)"
"My Cart Link","Mein Warekorb Link"
"New Address","Neue Adresse"
"New Condition","Neue Bedingung"
"Order #","Bestellung Nr."
"Order Review","Bestellübersicht"
"Order Success","Bestellung erfolgt"
"Other items in your order","Other items in your order"
"Password","Passwort"
"Payment Failed Email Reciever","E-Mail Empfänger bei fehlgeschlagener Zahlung"
"Payment Failed Email Sender","E-Mail Absender bei fehlgeschlagener Zahlung"
"Payment Failed Emails","E-Mails bei fehlgeschlagener Zahlung"
"Payment Failed Template","E-Mail Vorlage bei fehlgeschlagener Zahlung"
"Payment Information","Zahlungsinformation"
"Payment Method","Zahlweise"
"Payment method is not defined","Die Zahlweise ist nicht definiert"
"Place Order","Bestellung abschließen"
"Please <a href=""%s"">continue shopping</a>.","Bitte <a href=""%s"">setzen Sie Ihren Einkauf fort.</a>"
"Please agree to all Terms and Conditions before placing the order.","Bitte bestätigen Sie unsere Bedingungen bevor Sie die Bestellung abschließen."
"Please agree to all Terms and Conditions before placing the orders.","Bitte bestätigen Sie unsere Bedingungen bevor Sie die Bestellung abschließen."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Bitte geben Sie eine gültige Postleitzahl ein. Zum Beispiel 21335."
"Please log in below:","Bitte melden Sie sich hier an:"
"Please select region, state or province","Bitte wählen Sie Region, Land oder Bundesland"
"Please select shipping address for applicable items","Bitte wählen Sie die Versandadresse für die verfügbaren Produkte"
"Please select shipping methods for all addresses","Bitte wählen Sie die Versandarten für alle Adressen"
"Price","Preis"
"Proceed to Checkout","zur Kasse gehen"
"Product","Artikel"
"Product Name","Artikelname"
"Product does not exist","Produkt existiert nicht"
"Qty","Menge"
"Quote Lifetime (days)","Lebenszeit (in Tagen) angeben"
"Recently added item(s)","Kürzlich hinzugefügte Artikel"
"Register","Registrieren"
"Register and save time!","Registrieren und Zeit sparen!"
"Register to Create an Account","Registrieren Sie sich, um Ihr Benutzerkonto anzulegen"
"Register with us for future convenience:","Registrieren Sie sich für mehr Einkaufskomfort bei Ihrem nächsten Besuch:"
"Remove","Entfernen"
"Remove Item","Artikel entfernen"
"Remove Product","Artikel Entfernen"
"Remove item","Artikel entfernen"
"Review Order","Bestellübersicht"
"Review Order - %s","Bestellübersicht - %s"
"Sales","Verkäufe"
"Save Condition","Bedingung speichern"
"Save in address book","Im Adressbuch speichern"
"Select Address","Adresse auswählen"
"Select Addresses","Adressen auswählen"
"Select Shipping Method","Versandart auswählen"
"Select State/Province...","Land/Bundesland auswählen..."
"Select a billing address from your address book or enter a new address.","Wählen Sie eine Rechnungsadresse aus Ihrem Adressbuch oder legen Sie eine neue Adresse an."
"Select a shipping address from your address book or enter a new address.","Wählen Sie eine Versandadresse aus Ihrem Adressbuch oder legen Sie eine neue Adresse ein."
"Send Payment Failed Email Copy Method","Methode für E-Mail Kopie bei Zahlungsfehler"
"Send Payment Failed Email Copy To","E-Mail Kopie bei<br />Zahlungsfehler an"
"Send to","Sende an"
"Ship to Multiple Addresses","An mehrere Adressen versenden"
"Ship to different address","An andere Adresse verschicken"
"Ship to this address","An diese Adresse verschicken"
"Shipping Address","Versandadresse"
"Shipping Information","Versandinformation"
"Shipping Method","Versandart"
"Shipping Methods","Versandarten"
"Shipping method has not been selected yet","Es wurde noch keine Versandart ausgewählt"
"Shipping selection is not applicable","Versandauswahl ist nicht anwendbar"
"Shipping to","Verschicken an"
"Shopping Cart","Warenkorb"
"Shopping Cart Sidebar","Warenkorb-Sidebar"
"Shopping Cart is Empty","Der Warenkorb ist leer"
"Show Content as","Zeige Inhalt als"
"Some of the products you requested are not available in the desired quantity","Einige der gewünschten Artikel sind nicht in ausreichender Stückzahl vorhanden"
"Some of the products you requested are unavailable","Einige der gewünschten Artikel sind nicht verfügbar"
"Sorry, Onepage Checkout is disabled.","Sorry, Onepage Checkout is disabled."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","Entschuldigung, momentan gibt es keine Angebote für diese Bestellung."
"State/Province","Land/Bundesland"
"Status","Status"
"Store View","StoreView"
"Street Address","Straße"
"Street Address ","Straße "
"Submitting order information...","Bestellung wird übermittelt..."
"Subtotal","Pos. Zwischensumme"
"Telephone","Telefon"
"Terms and Conditions","Bestellbedingungen"
"Terms and Conditions Information","Informationen zu Bestellbedingungen"
"Terms and conditions","Bestellbedingungen"
"Text","Text"
"Thank you for your purchase!","Vielen Dank für Ihren Einkauf!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Sie haben <a href=""%s""><strong>%s Artikel</strong></a> in Ihrem Warenkorb."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Sie haben <a href=""%s""><strong>1 Artikel</strong></a> in Ihrem Warenkorb."
"There is already a customer registered using this email address","Es ist bereits ein Kunde mit dieser E-Mail-Adresse registriert!"
"There was an error processing your order. Please contact us or try again later.","Beim Verarbeiten der Bestellung trat ein Fehler auf. Bitte versuchen Sie es später noch einmal oder nehmen Sie Kontakt mit uns auf."
"This condition no longer exists","Diese Bedingung existiert nicht mehr"
"Total","Gesamt"
"Total for this address","Gesamtsumme für diese Adresse"
"Unit Price","Einzelpreis"
"Update Qty &amp; Addresses","Stückzahlen &amp; Adressen aktualisieren"
"Update Shopping Cart","Warenkorb aktualisieren"
"Update Total","Gesamtsumme aktualisieren"
"Use Billing Address","Rechnungsadresse verwenden"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Zur Zeit bearbeiten wir Ihre Bestellung... Sie werden bald eine E-Mail mit Details zu Ihrer Bestellung erhalten.<br/>Nach erfolgtem Versand bekommen Sie eine weitere E-Mail mit einem Link zur Überwachung des Versandwegs."
"You have no items in your shopping cart.","Sie haben keine Artikel im Warenkorb."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Sie werden eine E-Mail mit einer detaillierten Bestell-Bestätigung erhalten sowie einen Link zur Überprüfung des Fortschritts Ihrer Bestellung."
"Your Checkout Progress","Ihr Bestellfortschritt"
"Your order # is: %s","Ihre Auftragsnummer lautet %s"
"Your order # is: <a href=""%s"">%s</a>","Your order # is: <a href=""%s"">%s</a>"
"Your order has been received","Ihre Bestellung wurde übermittelt"
"Your order number is ","Ihre Bestellnummer lautet "
"Zip/Postal Code","Postleitzahl"
"osCommerce Orders","osCommerce Bestellungen"
"separate by "",""","separate by "","""
"My Cart","Mein Warenkorb"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Checkout","Checkout"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
"A-line Wedding Dresses","Brautkleider in A-Linie"
"A line Wedding Dresses","Brautkleider in A-Linie"
"A-line Wedding Dress","Brautkleider in A-Linie"
"A line Wedding Dress","Brautkleider in A-Linie"
"Mermaid/Trumpet Wedding Dresses","Brautkleider im Meerjungfrauen-Stil"
"Mermaid/Trumpet Wedding Dresses","Brautkleider im Meerjungfrauen-Stil"
"Mermaid/Trumpet Wedding Dress","Brautkleider im Meerjungfrauen-Stil"
"Mermaid/Trumpet Wedding Dress","Brautkleider im Meerjungfrauen-Stil"
"Sheath/Column Wedding Dresses","Gerade geschnittene Brautkleider"
"Sheath/Column Wedding Dresses","Gerade geschnittene Brautkleider"
"Sheath/Column Wedding Dress","Gerade geschnittene Brautkleider"
"Sheath/Column Wedding Dress","Gerade geschnittene Brautkleider"
"Ball Gown Wedding Dresses","Brautkleider in Duchesse-Linie"
"Ball Gown Wedding Dress","Brautkleider in Duchesse-Linie"
"Princess Wedding Dresses","Brautkleider im Prinzessin-Stil"
"Princess Wedding Dress","Brautkleider im Prinzessin-Stil"
"Plus Size Wedding Dresses","Brautkleider in Übergrößen"
"Plus Size Wedding Dress","Brautkleider in Übergrößen"
"Empire Wedding Dresses","Brautkleider im Empire-Stil"
"Empire Wedding Dress","Brautkleider im Empire-Stil"
"Modest Wedding Dresses","Bescheidenen Brautkleider"
"Modest Wedding Dress","Bescheidenen Brautkleider"
"Maternity Wedding Dresses","Brautkleider für Schwangere"
"Maternity Wedding Dress","Brautkleider für Schwangere"
"Short Wedding Dresses","Kurze Brautkleider"
"Short Wedding Dress","Kurze Brautkleider"
"Beach Wedding Dresses","Strand Brautkleider"
"Beach Wedding Dress","Strand Brautkleider"
"Wedding Dresses","Brautkleider"
"Wedding Dress","Hochzeitskleid"
"Junior Bridesmaid Dresses","Junior Brautjungfernkleider"
"Junior Bridesmaid Dress","Junior Brautjungfernkleider"
"Maternity Bridesmaid Dresses","Brautjungferkleider für Schwangere"
"Maternity Bridesmaid Dress","Brautjungferkleider für Schwangere"
"Bridesmaid Dresses","Brautjungfernkleider"
"Bridesmaid Dress","Brautjungfernkleider"
"Flower Girl Dresses","Blumenmädchenkleider"
"Flower Girl Dress","Blumenmädchenkleider"
"Mother of the Bride Dresses","Brautmutterkleider"
"Mother of the Bride Dress","Brautmutterkleider"
"Wedding Guest Dresses","Hochzeit Gastkleider"
"Wedding Guest Dress","Hochzeit Gastkleider"
"Evening Dresses","Abendkleider"
"Evening Dress","Abendkleider"
"Long Prom Dresses","Lange Ballkleider"
"Long Prom Dress","Lange Ballkleider"
"Short Prom Dresses","Kurze Ballkleider"
"Short Prom Dress","Kurze Ballkleider"
"Prom Dresses","Ballkleider"
"Prom Dress","Ballkleider"
"Party Dresses","Partykleider"
"Party Dress","Partykleider"
"Cocktail Dresses","Cocktailkleider"
"Cocktail Dress","Cocktailkleider"
"Date Dresses","Kleider für die Datierung"
"Family Celebration","Kleider für Familienfeier"
"Formal Dance Dresses","Kleider für Formale Tanz"
"Graduation Dresses","Abschlusskleider"
"Holiday Dresses","Festliche Kleider"
"Homecoming Dresses","Homecomingkleider"
"Homecoming Dress","Homecomingkleider"
"Military Ball Dresses","Militär Ball Kleider"
"Pageant Dresses","Festzug Kleider"
"Pageant Dresses","Festzug Kleider"
"Quinceanera Dresses","Quinceañera Kleider"
"Quinceanera Dresses","Quinceañera Kleider"
"Semi Formal Dresses","Halb Formale Kleider"
"Reception Dresses","Empfang Kleider"
"Bridal Veils","Schleier"
"Bridal Veil","Schleier"
"Wedding Veils","Schleier"
"Wedding Veil","Schleier"
"Veils","Schleier"
"Veil","Schleier"
"Wedding Headpieces","Kopfschmuck"
"Wedding Headpiece","Kopfschmuck"
"Headpieces","Kopfschmuck"
"Headpiece","Kopfschmuck"
"Special Occasion Jacket/Wedding Wrap","Bolero, Capes & Stola für Besondere Anlässe & Hochzeit"
"Wedding/Party Jacket/Wrap","Bolero, Capes & Stola für Besondere Anlässe & Hochzeit"
"Jacket/Wedding Wrap","Bolero/Capes/Stola"
"A-Line","A-Linie"
"Princess","Princess-Stil"
"Trumpet/Mermaid","Mermaid-Stil"
"Sheath/Column","Etui-Linie"
"Ball Gown","Duchesse-Linie"
"Ball-Gown","Duchesse-Linie"
"with","mit"
"Charming","Charme"
"Elegant","Elegant"
"Gorgeous","Herrlich"
"Amazing","Erstaunlich"
"Delightful","Wunderbar"
"Brilliant","Glänzend"
"Faddish","Faddish"
"Graceful","Anmutigen"
"Spectacular","Spektakuläre"
"Fancy","Phantasie"
"Glamorous","Glamourös"
"Lovely","Schön"
"Exquisite","Exquisite"
"Luxurious","Luxuriöse"
"Wonderful","Wunderbar"
"Attractive","Attraktiv"
"Sumptuous","Kostspielig"
"Strapless","Trägerloser Ausschnitt"
"Sweetheart","Herz-Ausschnitt"
"V-Neck","V-Ausschnitt"
"Spaghetti Straps","Spaghettiträger"
"One-Shoulder","1-Schulter"
"One Shoulder","1-Schulter"
"Off-the-Shoulder","Carmen-Ausschnitt"
"Off the Shoulder","Carmen-Ausschnitt"
"Halter","Neckholder"
"Straps","Träger"
"Scoop","U-Ausschnitt"
"Square","Carré-Ausschnitt"
"High-neck","Stehkragen"
"High neck","Stehkragen"
"Jewel","Juwel-Ausschnitt"
"Short Sleeves","Kurze Ärmel"
"Half Sleeves","Halbe Sleeve"
"3/4 Length Sleeves","3/4 Länge Ärmel"
"Long Sleeves","Lange Ärmel"
"Sleeveless","Ärmellos"
"Natural","Natürlich"
"Dropped","Tiefe Taille"
"Zipper-up","Reißverschluss"
"Lace-up","Schnürung"
"Backless","Rückenfrei"
"Sweep/brush train","Sweep/Pinsel Zug"
"chapel train","Kapelle-Schleppe"
"court train","Hof-Schleppe"
"floor-length","Bodenlang"
"floor length","Bodenlang"
"cathedral train","Kathedrale-Schleppe"
"asymmetrical","Asymmetrisch"
"tea-length","Wadenlang"
"tea length","Wadenlang"
"knee-length","Knielang"
"knee length","Knielang"
"ankle-length","Knöchellang"
"ankle length","Knöchellang"
"Short/Mini","Kurz/Mini"
"beading","Perlenstickerei"
"pleated","Gefaltet"
"pleats","Gefaltet"
"embroidered","Stickerei"
"lace","Spitze"
"sash","Schärpen"
"tiered","Stufig"
"print","Drucken"
"ruffles","Rüschen"
"draped","Drapiert"
"bow","Schleife"
"sequin","Mit Paillette"
"cascading ruffle","Kaskadierung Rüschen"
"nets","Netz"
"feather","Feder"
"pattern","Muster"
"piping","Paspeliert"
"rhinestone","Kunstdiamant"
"Ruched","Rüsche"
"Matte Satin","Matte-satin"
"Elastic Woven Satin","Stretch-Satin"
"Silk Like Satin","Kunstseide"
"Tulle","Tülle"
"Taffeta","Taft"
"Hand-made Flowers","Handgefertigten Blumen"
"Hand made Flowers","Handgefertigten Blumen"
"Handmade Flowers","Handgefertigten Blumen"
"And","und"
"Ivory","Elfenbein"
"Champagne","Champagner"
"Pink","Rosa"
"White","Weiß"
"Brown","Braun"
"Black","Schwarz"
"Blue","Blau"
"Chocolate","Schokolade"
"Burgundy","Burgunderrot"
"Daffodil","Narzisse"
"Dark Green","Dunkelgrün"
"Fuchsia","Purpurrot"
"Grape","Traube"
"Hunter","Jägergrün"
"Green","Grün"
"Lavender","Lavendel"
"Pearl Pink","Perlen Pink"
"Light Sky Blue","Himmelblau"
"Lilac","Lila"
"Red","Rot"
"Royal Blue","Kaiser Blau"
"Sage","Salbei"
"Silver","Silber"
"Regency","Regency Blau"
"Watermelon","Wassermelone"
"Taffeta","Taft"
"Matte Satin","Matte-satin"
"Elastic Woven Satin","Stretch-satin"
"Silk Like Satin","Kunstseide"
"Custom Size","Maßgeschneiderte Größe"
"Measurement Unit","Maßeinheit"
"Bust","Brust"
"Waist","Taille"
"Hips","Hüfte"
"Hollow to Floor","Schlüsselbeine zum Boden"
"Height","Körpergröße"
"Cup Size","BH-Größe"
"Size","Größe"
"Color","Farbe"
"Shoulder(inch)","Schulterbreite (inch)"
"Arm Length(inch)","Armlänge (inch)"
"Bust(inch)","Oberweite (inch)"
"Event Date","Datum des Ereignisses"
"Note","Bemerkung"
"Show as picture","Als bild dargestellt"
"Back Style","Rücken"
"Zipper","Reißverschluss"
"Zipper","Reißverschluss"
"Lace Up","Schnürung"
"Backless","Rückenfrei"
"Other","Andere"
"Body Shape","Figur"
"Plus Sizes","Übergrößen"
"Maternity","Mutterschaft"
"Petite","Extraklein"
"Misses","Fehlend"
"Apple","Apfel"
"Hourglass","Sanduhr"
"Inverted Triangle","Stehendes Dreieck"
"Pear","Birne"
"Rectangle","Rechteck"
"Embellishment","Verzierung"
"Beading","Perlenstickerei"
"Ruffles","Rüschen"
"Hand-Made Flower","Handgemachte Blume"
"Embroidery","Stickerei"
"Applique","Applikation"
"Sequin","Mit Paillette"
"Bowknot","Schleife"
"Crystal","Kristall"
"Sash/Ribbon/Belt","Schärpen/Bänder"
"Lace","Spitze"
"Rhinestone","Kunstdiamant"
"Ruched","Rüsche"
"Paillette","Paillette"
"Layers","Schichten"
"Pleats","Gefaltet"
"Acrylic Jewels","Acryl Juwelen"
"Diamond","Diamant"
"Feathers/Fur","Feder/Pelz"
"Fabric","Stoff"
"Chiffon","Chiffon"
"Satin","Satin"
"Taffeta","Taft"
"Elastic Woven Satin","Stretch-Satin"
"Tulle","Tülle"
"Organza","Organza"
"Silk like Satin","Kunstseide"
"Charmeuse","Charmeuse"
"Matte Satin","Matte-satin"
"Net","Netz"
"Sequins","Mit Paillette"
"Feather","Feder"
"Faux Fur","Kunstpelz"
"Jersey","Jersey"
"Hemline/Train","Schleppe/Rock-Stil"
"Short/Mini","Kurz/Mini"
"Knee-Length","Knielang"
"Tea-Length","Wadenlang"
"Ankle-Length","Knöchellang"
"Floor-Length","Bodenlang"
"Sweep/Brush Train","Sweep/Pinsel Zug"
"Court Train","Hof-Schleppe"
"Chapel Train","Kapelle-Schleppe"
"Cathedral Train","Kathedrale-Schleppe"
"Asymmetrical","Asymmetrisch"
"Neckline","Kragentyp"
"Strapless","Trägerloser Ausschnitt"
"Sweetheart","Herz-Ausschnitt"
"V-neck","V-Ausschnitt"
"One-Shoulder","1-Schulter"
"Straps","Träger"
"Square","Carré-Ausschnitt"
"Halter","Neckholder"
"Spaghetti Straps","Spaghettiträger"
"Off-the-Shoulder","Carmen-Ausschnitt"
"Scoop","U-Ausschnitt"
"High Neck","Stehkragen"
"Bateau","Bateau-kragen"
"Jewel","Juwel-Ausschnitt"
"Sash Fabric","Schärpen Stoff"
"Shown Color","Farbe Gezeigt"
"Ivory","Elfenbein"
"Champagne","Champagner"
"Pearl Pink","Perlen Pink"
"Pink","Rosa"
"White","Weiß"
"Brown","Braun"
"Black","Schwarz"
"Light Sky Blue","Himmelblau"
"Royal Blue","Kaiser Blau"
"Blue","Blau"
"Chocolate","Schokolade"
"Burgundy","Burgunderrot"
"Daffodil","Narzisse"
"Dark Green","Dunkelgrün"
"Fuchsia","Purpurrot"
"Grape","Traube"
"Hunter","Jägergrün"
"Hunter Green","Jägergrün"
"Multi Colors","Multi Farben"
"Green","Grün"
"Lavender","Lavendel"
"Lilac","Lila"
"Red","Rot"
"Sage","Salbei"
"Silver","Silber"
"Regency","Regency Blau"
"Watermelon","Wassermelone"
"Dark Navy","Dunkelnnavy"
"Yellow","Gelb"
"Grey","Grau"
"Silhouette","Schattenbild"
"A-Line/Princess","A-Linie/Princess-Stil"
"Sheath/Column","Etui-Linie"
"Trumpet/Mermaid","Meerjungfrau-Linie/Mermaid-Stil"
"Ball Gown","Duchesse-Linie"
"Empire","Empire-Stil"
"Season","Jahreszeit"
"Spring","Frühling"
"Summer","Sommer"
"Fall","Herbst"
"Winter","Winter"
"Skirt Fabric","Rock Stoff"
"Sleeve","Ärmellänge"
"Sleeveless","Ärmellos"
"Short Sleeves","Kurze Ärmel"
"1/2 Sleeves","Halbe Sleeve"
"3/4 Sleeves","3/4 Länge Ärmel"
"Long Sleeves","Lange Ärmel"
"Waist","Taille"
"Natural","Natürlich"
"Dropped","Tiefe Taille"
"Show","Zeigen"
"New from Date","Neue"
"Sort By:","Sortierung:"
"Price","Preis"
"Part","Teil"
"Standard Shipping","Standard-Versand"
"Expedited Shipping","Beschleunigter Versand"
"Delivery Rates Title","Gültige Versandart"
"Free Shipping","Kostenloser Versand"
"Rush Order","Eilauftrag"
"No, thanks! (Standard)","Nein, danke! (Regelmäßige)"
"Arrive in 16-18 days","Ankunft in 16-18 Tagen"
"Arrive in 13-15 days","Ankunft in 13-15 Tagen"
"Product Reviews:","Kundenmeinungen:"
"Buy these items together for greater savings:","Kaufen Sie diese Produkte zusammen für größere Einsparungen:"
"Ready to buy","Bereit zu kaufen"
"Pick List","Auswahlliste"
"select this item"，"Diesen Artikel auswählen"
"Pictures","Bilder"
"Quantity:","Menge:"
"How to Order","Wie Sie bestellen"
"You may also be interested in the following product(s)","Sie könnten auch interessiert sein an folgenden Produkten (s)"
"Ask a Question","Stellen Sie eine Frage"
"(Please attach the product url in the question.)","(Bitte legen Sie das Produkt url in der Frage.)"
"Post My Review","Sende Meine Bewertung"
"Only registered users can write reviews. Please, <a href="%s">log in</a> or <a href="%s">register</a>","Nur registrierte Nutzer können Bewertungen schreiben. Bitte, <a href="%s">log in</a> or <a href="%s">register</a>"
"Plus Sizes","Übergrößen"
"Maternity","Mutterschaft"
"Petite","Extraklein"
"Misses","Fehlend"
"Apple","Apfel"
"Hourglass","Sanduhr"
"Inverted Triangle","Stehendes Dreieck"
"Pear","Birne"
"Rectangle","Rechteck"
"Check Cart","Zum Warenkorb"
"Popular at Merle Dress","Beliebt bei MerleDress.com"
"What's Popular?","Was ist beliebt?"
"ship to","versenden"
"Skirt Color","Rock Farbe"
"Bodice Color","Mieder Farbe"
"Decoration Color","Dekoration Farbe"
"Skin Pink","Haut Rosa"
"Bud Green","Bud grün"
"Dark Brown","Dunkelbraun"
"Orange Red","Orange Rot"
"Bright Rust Red","Leuchtend Rot"
"Ice Blue","Eisblau"
"Purple","Purpurrot"
"Unit(s)","Einheit (en)"
"Tiers","Schichten"
"Tier","Schicht"
"Package Weight (g)","Paket-Gewicht (g)"
"Buy Now","Jetzt Kaufen"
"Check Cart","Zum Warenkorb"
"Shopping Cart <a class="cart-links" id="cart_total" href="%s"><strong>0 <span>item</span></strong></a>","Einkaufswagen <a class="cart-links" id="cart_total" href="%s"><strong>0 <span>Stück</span></strong></a>"
"Shopping Cart <a class="cart-links" id="cart_total" href="%s"><strong>1 <span>item</span></strong></a>","Einkaufswagen <a class="cart-links" id="cart_total" href="%s"><strong>1 <span>Stück</span></strong></a>"
"Shopping Cart <a class="cart-links" id="cart_total" href="%s"><strong>%s <span>items</span></strong></a>","Einkaufswagen <a class="cart-links" id="cart_total" href="%s"><strong>%s <span>Artikel</span></strong></a>"
"We accept these forms of payment.","Wir akzeptieren diese Zahlungsformen."
