" and ","e"
"Edit User '%s'","Editar Utilizador '%s'"
"Email","Email"
"Email Preview","Pré-visualizar email"
"Email:","Email:"
"Enclose Values In:","valores delemitados em:"
"Entity type:","Tipo de Entidade:"
"Excl. Tax","Excl. Imposto"
"Exclude","Excluir"
"Expiration Date","Data de expiração"
"Expiration Date: %s/%s","Data Validade: %s/%s"
"Export","Exportar"
"Export Filters","Exportar Filtros"
"Export to:","Exportar para:"
"Export:","Exportar:"
"Extension","Extensão"
"Extensions","Extensões"
"FTP Host[:Port]","Servidor FTP [:Port]"
"Field Mapping","Mapeamento de campo"
"File Information","Informação do ficheiro"
"File name:","Nome do Ficheiro:"
"Final Price","Preço Final"
"Finished items creation.","Criação de Itens Finalizada"
"First Name:","Primeiro nome:"
"For latest version visit: %s","Para a última versão visite: %s"
"From","De"
"General Settings","Opções Gerais"
"Get help for this page","Obter ajuda para esta página"
"Global Record Search","Pesquisa Global"
"Go Today","Ir para Hoje"
"Google Base Items","Itens do Google Base"
"Group:","Grupo:"
"Help Us Keep Magento Healthy - Report All Bugs","Ajude-nos a manter Magento estável. Reporte os erros que encontrar"
"Ignore","Ignorar"
"Images","Imagens"
"Import","Importar"
"Import Service","Importar Serviço"
"In Database:","Na Base de Dados:"
"In File:","No Ficheiro:"
"Inactive","Inactivo"
"Incl. Tax","Incl. Imposto"
"Include","Incluir"
"Installed As","Instalado como"
"Interactive","Interactivo"
"Interface Locale: %s","Língua da Interface: %s"
"Invalid webservice adapter specified","Adapter de webservice especificado inválido"
"Invalid webservice handler specified","Adapter de webservice especificado inválido."
"Invoice History","Histórico Facturação"
"Invoice Totals","Totais de Facturação"
"Issue Number","Número Edição"
"Issuer: %s","Autor: %s"
"Items to merge","Itens a unir"
"Last 5 Orders","Últimas 5 encomendas"
"Last 5 Search Terms","Últimos 5 termos de pesquisa"
"Last Logged In (%s):","Última sessão Em (%s):"
"Last Logged In:","Último início de sessão em:"
"Last Name:","Apelido"
"Latest Message:","Última Mensagem:"
"Leave empty to use tax identifier","Deixe em branco para utilizar identificador de imposto"
"Level","Nível"
"License:","Licença:"
"Loading...","A Carregar..."
"Local Server","Servidor Local"
"Local/Remote Server","Servidor Local/Remoto"
"Log Out","Terminar sessão"
"Logged in as %s","Iniciou sessão como %s"
"MS Excel XML","MS Excel XML"
"Magento Core Api","Api Core do Magento"
"Magento Core Api Section","Secção Magento Core Api"
"Magento Logo","Logótipo do Magento"
"Magento ver. %s","Magento %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento &trade; é uma marca registada de Irubin Consulting Inc. DBA Varien. &copy; <br/>Copyright 2007"
"Maintainers","Manutenção"
"Manage Stores","Gerir Lojas"
"Mapping Configuration","Configuração mapeamento"
"Max","Máx."
"Merge Now","Unir Agora"
"Min","Mín"
"Module version conflict!","Conflito de Versões no Módulo!"
"N/A","N/D"
"Name","Nome"
"Name on Card","Nome no cartão"
"Name on the Card: %s","Nome no Cartão: %s"
"Name:","Nome:"
"Next month (hold for menu)","Mês seguinte (aguarde para menu)"
"Next page","Página seguinte"
"Next year (hold for menu)","Ano seguinte (aguarde para menu)"
"No","Não"
"No Data Found","Não foram encontrados dados"
"No search keywords.","Sem termos de pesquisa"
"Note:","Nota:"
"Notes:","Notas:"
"Number of records:","Número de resultados:"
"Old rate:","Taxa antiga:"
"Only mapped fields","Apenas campos mapeados"
"Order Totals","Total encomendas"
"Order confirmation email not sent","Email de confirmação da encomenda não enviado"
"Order confirmation email sent","Email de confirmação de encomenda enviado"
"Original Magento attribute names in first row:","Nome originais dos atributos Magento na primeira linha"
"Package","Pacote"
"Package Information","Informação do Pacote"
"Packages","Pacotes"
"Page","Página"
"Passive mode","Modo passivo"
"Password","Palavra-passe"
"Path","Caminho"
"Path:","Caminho:"
"PayPal Email","Email Paypal"
"Personal Information","Informação Pessoal"
"Phone:","Telefone:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor confirme a mudança de site. Todos os dados que não foram guardados serão perdidos."
"Please enter 6 or more characters.","Por favor insira 6 ou mais caracteres"
"Please enter a number greater than 0 in this field.","Por favor insira neste campo um número maior que 0."
"Please enter a valid $ amount. For example $100.00.","Por favor insira um valor válido. Por exemplo ?100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor insira uma URL válida. Ex: http://www. exemplo.com ou www. exemplo.pt"
"Please enter a valid URL. http:// is required","Por favor insira uma URL válida. http:// é obrigatório"
"Please enter a valid credit card number.","Por favor insira um número de cartão de crédito válido"
"Please enter a valid date.","Por favor insira uma data válida"
"Please enter a valid email address. For example johndoe@domain.com.","Por favor insira um email válido. Por exemplo eu@ exemplo.com"
"Please enter a valid number in this field.","Por favor insira neste campo um email válido"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor insira um número de telefone válido. Por exemplo 456-7890 ou 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Por favor insira o número de segurança social. Por exemplo: 123-45-6789"
"Please enter a valid value from list","Por favor insira um valor válido da lista"
"Please enter a valid value, ex: 10,20,30","Por favor insira um valor válido, ex: 10,20,30"
"Please enter a valid zip code.","Por favor insira um código postal válido"
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor insira uma código postal válido. Ex: 4750 ou 4750-144"
"Please enter valid password.","Por favor insira uma palavra-passe válida"
"Please make sure that your changes were saved before running the profile.","Por favor assegure-se que as suas alterações foram guardadas antes de correr o perfil."
"Please make sure your passwords match.","Por favor confirme que as duas palavras-passe coincidem"
"Please select State/Province.","Por favor seleccione o Estado/Província"
"Please select an option.","Por favor seleccione uma opção"
"Please select one of the above options.","Por favor seleccione uma das opções acima"
"Please select one of the options.","Por favor seleccione uma das opções"
"Please use in this field only ""a-z,0-9,_"".","Por favor utilize apenas ""a-z,0-9,_"""
"Please use letters only (a-z) in this field.","Por favor utilize apenas letras neste campo (a-z)."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Por favor utilize apenas números neste campo. Por favor evite espaços ou outros caracteres como pontos e vírgulas"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor utilize apenas letras (a-z) ou números (0-9) neste campo. Não são permitidos espaços ou outros caracteres"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Por favor utilize apenas letras (a-z) ou números ou espaços e # apenas neste campo"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor use o seguinte formato de data: dd/mm/aaaa. Por exemplo 22/09/1984 para 22 de Setembro de 1984"
"Please wait, loading...","Por favor aguarde, a carregar..."
"Please, select a store view","Por favor, seleccione uma Vista de Loja"
"Prev. month (hold for menu)","Mês ant. (aguarde para menu)"
"Prev. year (hold for menu)","Ano ant. (aguarde para menu)"
"Previous page","Página anterior"
"Price","Preço"
"Price:","Preço:"
"Primary Billing Address","Endereço de facturação primário"
"Processed <strong>%s%% %s/%d</strong> items","Processados <strong>%s%% %s/%d</strong> itens"
"Product","Produto"
"Products","Produtos"
"Profile Information","Informação do perfil"
"Provided Files","Ficheiros cedidos"
"Qty","Qt"
"Read details","Ler detalhes"
"Recommended","Recomendado"
"Remote FTP","FTP Remoto"
"Remote URL:","Url Remota:"
"Remove","Remover"
"Resource Access","Acesso Recurso"
"Resources","Recursos"
"Role","Papel"
"Role Users","Utilizadores"
"Roles","Níveis"
"Roles Resources","Listas de Acessos"
"SKU","SKU"
"SKU:","SKU:"
"Schedule Merge","Unir Horários"
"Select All","Seleccionar tudo"
"Select Date","Seleccionar Data"
"Select Range","Seleccione período"
"Select Visible","Seleccionar visíveis"
"Select date","Seleccione Data"
"Select website from map","Seleccionar Site a partir do Mapa"
"Select website to map","Seleccione o website a mapear"
"Shipment Comments","Comentários Envio"
"Shipment History","Histórico Envio"
"Shipping Address","Endereço de Envio"
"Shipping address selection is not applicable","Selecção de endereço de envio não aplicável"
"Shipping method selection is not applicable","Selecção método de envio não aplicável"
"Show Report for","Mostrar Relatório para"
"Show by","Mostrar por"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Alguns itens nesta encomenda tem diferentes tipos de facturação e envio. Pode criar o envio após a criação da factura."
"Sort Order","Ordem Apresentação"
"Spreadsheet Name:","Nome Folha de Cálculo"
"Staging Store: ","Loja Experimental:"
"Staging Website: ","Website Experimental:"
"Start Date","Data início"
"State/Province:","Estado/Província:"
"Status","Estado"
"Status:","Estado:"
"Stock Quantity:","Quantidade em Inventário:"
"Store:","Loja:"
"Store: ","Loja:"
"Subpackage","Subpacote"
"Subpackages","Subpacotes"
"Summary:","Sumário:"
"Switch/Solo Only","Apenas Switch/Solo"
"Switch/Solo card issue number: %s","Número de Emissão Cartão Switch/Solo: %s"
"Switch/Solo card start Date: %s/%s","Data de Início para cartão Switch/solo: %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(UK Domestic) Apenas"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Domestic) número cartão: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK Domestic) data início cartão: %s/%s"
"The information in this tab has been changed.","A informação neste separador foi alterada"
"This is a required field.","Este campo é obrigatório"
"This tab contains invalid data. Please solve the problem before saving.","Este separador contém dados inválidos. Por favor resolva o problema antes de guardar"
"Thumbnail","Miniatura"
"Time selection:","Selecção Hora:"
"Time:","Hora:"
"To","Até"
"Top 5 Search Terms","5 Termos de Pesquisa mais utilizados"
"Total %d records found","Um total de %d resultados encontrados"
"Track order","Seguir Encomenda"
"Track this shipment","Monitorize este envio"
"Type","Tipo"
"Type:","Tipo:"
"Unable to login.","Incapaz de iniciar sessão"
"Unselect All","Desmarcar todos"
"Unselect Visible","Desmarcar Visíveis"
"Upgrade All Available Packages","Actualizar todos os pacotes disponíveis"
"Upload Local File","Carregar ficheiro local"
"Upload local file:","Carregar ficheiro local:"
"Use Default Value","Utilizar Valor por Omissão"
"User","Utilizador"
"User Name","Nome de Utilizador"
"User Roles","Acessos Utilizador"
"User name","Nome de Utilizador"
"Users","Utilizadores"
"Value Delimiter:","Delimitação de Valor:"
"Version:","Versão:"
"View","Ver"
"View Statistics for","Ver Estatísticas para"
"Visibility:","Visibilidade:"
"Warning! Empty value can cause problems with CSV format.","Aviso! Valores vazios podem causar problemas com o formato CSV."
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Atenção!rnEsta acção vai remover este utilizador de papeis já atribuídosrnTem a certeza?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Atenção!rnEsta acção vai remover os utilizadores de papeis já atribuídosrnTem a certeza?"
"Web Services","Web Services"
"Web Services Configuration","Configuração de Web Services"
"Website: ","Site:"
"Websites","Sites"
"Websites / Stores","Sites/Lojas"
"What is this?","O que é isto?"
"Yes","Sim"
"You have","Você tem"
"Your Account has been deactivated.","A sua conta foi desactivada."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","As configurações do PHP permitem-lhe carregar não mais que %s ficheiros ao mesmo tempo. Por favor modifique os valores de post_max_size (actualmente é %s) e upload_max_filesize (actualmente é %s) no ficheiro php.ini se deseja carregar ficheiros maiores."
"Zip/Postal Code:","Código Postal:"
"critical","CRíTICO"
"images/logo.gif","images/logo.gif"
"items selected","itens seleccionados"
"major","IMPORTANTE"
"md5sum","md5sum"
"minor","MENOR"
"notice","INFORMAÇÃO"
"of %s pages","de %s páginas"
"or","OU"
"per page","por página"
"to","até"
