"# of Use","# Usado"
"%1$s incl tax.","%1$s incl imposto."
"%s - %s","%s - %s"
"(Copy data from: %s)","(Copiar dados de: %s)"
"Choose option...","Escolha opção..."
"Clear All","Limpar tudo"
"Clear All Items","Limpar todos os itens"
"Close Window","Fechar janela"
"Collapse All","Fechar tudo"
"Comparable","Comparável"
"Comparable on Front-end","Comparável na Loja"
"Compare Items","Comparar Itens"
"Compare Products","Comparar produtos"
"Compare Products (%d)","Comparar Produtos (%d)"
"Compare Products - %d Items","Comparar Produtos - %d itens"
"Compare Products List","Compara Lista de Produtos"
"Compare list successfully cleared","Lista de comparação de preços correctamente limpa"
"Conditions Combination","Condições de Combinação"
"Configurable Product","Produto Configurável"
"Configurable Product Settings","Opções de produtos configuráveis"
"Continue","Continuar"
"Copy From Configurable","Copiar de Produto Configurável"
"Country/State","País/Estado"
"Create","Criar"
"Create (Upload)","Criar (carregar)"
"Create Empty","Criar Vazio"
"Create Product Settings","Criar Opções do Produto"
"Create Simple Associated Product","Criar um Produto Associado Simples"
"Create new category","Criar nova categoria"
"Create new product","Criar novo produto"
"Cross-sells","Vendas Cruzadas"
"Currently Shopping by","Actualmente a comprar por"
"Custom Design","Desenho Personalizado"
"Custom Options","Opções personalizadas"
"Customer Group","Grupo do Cliente"
"Customers Reviews","Análises dos clientes"
"Customers Tagged Product","Produtos etiquetados pelos Clientes"
"Customers for alert %s was successfuly added to queue","Clientes para alertas %s foram correctamente colocados em Lista de Espera"
"Data Type for Saving in Database","Tipo de Dados para guardar na Base de Dados"
"Date","Data"
"Date & Time Custom Options","Personalizar opções de Data/Hora"
"Date Subscribed","Data subscrição"
"Date fields order","Ordem dos campos da data"
"Datetime","Datahora"
"Decimal","Décimla"
"Decimal Number","Número decimal"
"Declare attribute value saving scope","Definir o valor do atributo para guardar o espaço"
"Default Qty","Qt. por omissão"
"Default Values","Valores por Omissão"
"Default price","Preço por Omissão"
"Default value","Valor por omissão"
"Delete","Remover"
"Delete Attribute","Remover Atributo"
"Delete Attribute Set","Remover Grupo de Atributos"
"Delete Category","Remover Categoria"
"Delete Option","Opção de remover"
"Delete Row","Remover linha"
"Delete Search","Remover Pesquisa "
"Delete Selected Group","Remove grupo seleccionado"
"Delete category","Remover Categoria"
"Delete product","Remover produto"
"Depends on design theme","Depende do desenho do Tema"
"Design","Desenho"
"Disabled","Inactivo"
"Display in Suggested Terms","Mostrar nos termos Sugeridos"
"Double click on a group to rename it","Duplo Clique num grupo para o renomear"
"Double click on above image to view full picture","Faça duplo clique na imagem para a ver na integra"
"Dropdown","Lista de selecção"
"Duplicate","Duplicar"
"Duplicate website tier price customer group and quantity.","Duplicar o desconto em quantidade do grupo de clientes e quantidade do site"
"Duplicate website, country and state tax found.","Foi encontrado um duplicado de Imposto para sítio, país e estado"
"Edit","Editar"
"Edit Attribute Set '%s'","Editar grupo de atributos '%s'"
"Edit Product Attribute","Editar atributo do produto"
"Edit Product Attribute ""%s""","Editar atributo do produto ""%s"""
"Edit Search","Editar pesquisa "
"Edit Search '%s'","Editar Pesquisa '%s'"
"Email","Email"
"Email to a Friend","Enviar por email a um amigo"
"Empty","Vazio"
"Enabled","Activo"
"Error during retrieval of option value: %s","Erro durante a recepção do valor da opção: %s"
"Error while adding customers for %s alert. Message: %s","Erro enquanto adicionava clientes para a alerta %s. Mensagem: %s "
"Error while saving this group. Group with the same name already exists.","Erro ao guardar grupo. Já existe um outro com o mesmo nome."
"Error while saving this group. Please try again later.","Erro ao guardar o grupo. Por favor tente novamente mais tarde"
"Exclude","Excluir"
"Expand All","Expandir tudo"
"Failed","Erro"
"Failed to move file: %s","Incapaz de mover o ficheiro: %s"
"Feature Products","Produtos em Destaque"
"File options format is not valid","Opções do formato do arquivo inválidas"
"File upload failed","O carregamento de ficheiro falhou"
"Filter model name must be declared","O nome do modelo de filtro tem que ser definido"
"Filter must be as object. Set correct filter please","O filtro tem que ser um objecto. Por favor corrija o problema"
"Filterable (no results)","Filtrável (sem resultados)"
"Filterable (with results)","Pesquisável (com resultados)"
"Filters must be as array","Os filtros tem que ser uma matriz (array)"
"First Name","Primeiro Nome"
"Fixed","Fixo"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","O Catálogo plano tem um limite de %2$d atributos passiveis de filtragem e/ou ordenação. Actualmente existem %1$d. Por favor reduza o número de atributos passiveis de filtragem e/ou ordenação para utilizar este módulo."
"For internal use. Must be unique with no spaces","Para uso interno. Tem que ser único e sem espaços"
"For reindex enabled product(s) you need specify store or product","Para reindexar os produtos disponíveis necessita de especificar uma loja ou produto"
"Frontend","Frontend"
"Frontend Model","Modelo de Interface de Utilizador"
"Frontend Properties","Propriedades da Interface do Utilizador"
"Gallery","Galeria"
"General Information","Informação geral"
"Get special price","Obtenha preço especial"
"Global","Global"
"Globally Editable","Editável Globalmente"
"Go to Home Page","Ir para a Página Inicial"
"Grid","Grelha"
"Grouped Product","Grupo de Produtos"
"Groups","Grupos"
"Home","Página Inicial"
"ID","ID"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se não definir um valor para a opção de uma loja específica o valor por omissão (Admin) será utilizado"
"Image","Imagem"
"Image content is not valid base64 data.","O Conteúdo da imagem não é base64 válido"
"Image file not found","Imagem não encontrada"
"Image not exists","Imagem não existente"
"Image not specified.","Imagem não especificada"
"Image type and information need to be specified for each store view.","O tipo de imagem e informação necessita de ser especificado para cada Vista de Loja"
"In Stock","Em inventário"
"In stock","Disponível"
"In stock.","Disponível"
"Incl. Tax","Incl. Imposto"
"Input Type","Tipo de Entrada"
"Input Validation for Store Owner","Validação de entrada para dono da Loja"
"Integer","Inteiro"
"Integer Number","Número Inteiro"
"Invalid Tier Prices","Descontos por quantidade inválidos"
"Invalid attribute %s","Atributo inválido %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Opção de atributo inválida para atributo especificado. Ignorando registo"
"Invalid attribute set specified, skipping the record","Grupo de atributos especificado inválido. Ignorando o registo"
"Invalid block: %s","Bloco inválido: %s"
"Invalid category","Categoria inválida"
"Invalid category IDs","Id's de categoria inválidos"
"Invalid image file type","Tipo de ficheiro de imagem inválido"
"Invalid image type.","Tipo de imagem inválido."
"Invalid option id specified for %s (%s), skipping the record","Id de opção especificada inválida para %s (%s), ignorando os dados"
"Invalid product type specified, skipping the record","Tipo de produto inválido, ignorando os dados"
"Invalid store specified","Loja espeficiada inválida"
"Invalid store specified, skipping the record","Loja inválida especificada, ignorando registo"
"Inventory","Inventário"
"Is Default","É valor por omissão"
"Is Required","É obrigatório"
"Items %s to %s of %s total","Itens %s a %s num total de %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Os itens que não deseja mostrar no catálogo ou nos resultados da  pesquisa  devem ter o estado 'Desactivado' na Loja desejada"
"Label","Etiqueta"
"Last Name","Apelido"
"Last Notification","Última Notificação"
"Learn More","Mais informação"
"Length of text is too long","O comprimento do texto é demasiado grande"
"Letters","Letras"
"Letters(a-zA-Z) or Numbers(0-9)","Letras (a-zA-Z) ou Números(0-9)"
"Line %d, Email: %s","Linha %s, Email: %s"
"Line %d, SKU: %s","Linha %s, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link(Relacionados, Vendas Superiores, Vendas Cruzadas )"
"Link product not exists.","O produto não existe"
"List","Lista"
"List Mode","Modo Lista"
"Manage Attribute Sets","Gerir Grupos de Atributos"
"Manage Attributes","Gerir Atributos"
"Manage Catalog Categories","Gerir Categorias do Catálogo"
"Manage Categories","Gerir Categorias"
"Manage Label / Options","Gerir Rótulo / Opções"
"Manage Options (values of your attribute)","Gerir Opções (Valores do seu atributo)"
"Manage Product Attributes","Gerir Atributos do Produto"
"Manage Product Sets","Gerir Grupos de Atributos"
"Manage Products","Gerir Produtos"
"Manage Stock","Gerir Stock"
"Manage Titles (Size, Color, etc.)","Gerir Títulos (tamanho, cor, etc.)"
"Max Characters","Max. Caracteres"
"Maximal Depth","Profundidade máxima"
"Maximum Image Size","Tamanho máximo imagem"
"Maximum Qty Allowed in Shopping Cart","Qt. Máxima Permitida no Carrinho de Compras"
"Maximum image height","Altura máxima imagem"
"Maximum image width","Largura máxima imagem"
"Maximum number of characters","Número máximo de caracteres"
"Media Image","Imagem Media"
"Minimum Lines Per Page","Número máximo de linhas por página"
"Minimum Qty Allowed in Shopping Cart","Qt. Mínima Permitida no Carrinho de Compras"
"Minimum Qty for Item's Status to be Out of Stock","Qt Mínima para o Estado do Item estar Indisponível"
"Missing SKU, skipping the record","SKU em falta, ignorando os dados"
"More Views","Mais vistas"
"Move","Mover"
"Move category in tree","Mover categoria na listagem"
"Multiple Select","Selecção Múltipla"
"Name","Nome"
"Name In %s","Nome Em %s"
"Name<br/>(For internal use)","Nome <br/>(Para uso interno)"
"New Category","Nova Categoria"
"New Product","Novo Produto"
"New Product Attribute","Novo atributo de produto"
"New Products","Novos Produtos"
"New Search","Nova  pesquisa "
"New Set Name","Novo Nome Grupo"
"Next","Seguinte"
"No","Não"
"No image","Sem Imagem"
"No layout updates","Sem actualizações à layout"
"No options of this product are available.","Não existem opções disponíveis para este produto"
"No product collections found","Não foram encontradas colecções de produtos"
"None","NENHUMA"
"Not shared with other products","Não está partilhado com outros produtos"
"Notify Low Stock RSS","Notificação baixa disponibilidade por RSS"
"Notify for Quantity Below","Notificar para quantidade abaixo"
"Nowhere","Em lado nenhum"
"Number of Uses","Número de utilizações"
"Number of results<br/>(For last time placed)","Número de resultados<br />(Colocados da última vez)"
"OR","OU"
"Old Price:","Preço antigo:"
"Option validation failed to add product to cart","Falha na validação das opções ao adicionar no carrinho"
"Option:","Opção:"
"Options Control","Controlo de Opções"
"Options is required","Opções são obrigatórias"
"Our customer service is available 24/7. Call us at (555) 555-0123.","O nosso suporte está disponível 24/7"
"Out of Stock","Esgotado"
"Out of stock","Indisponível"
"Out of stock.","Indisponível"
"PM","PM"
"Page Title Separator","Separador do Título da Página"
"Page:","Pagina:"
"Parent Category","Categoria Superior"
"Pending","Pendente"
"Pending Reviews RSS","Análises Pendentes RSS"
"Percentage","Percentagem"
"Please add rows to option.","Por favor adicione linhas à opção"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Tenha atenção ao clicar na linha, já que irá carregar a informação do ficheiro seleccionado e todos os dados não guardados serão perdidos"
"Please click on Close Window button if it won't be closed automatically","Por favor clique no botão de fechar a janela se esta não fechar automaticamente"
"Please enter a new group name","Por favor insira um nome do grupo"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Por favor actualize ""Rescritas do Catálogo"" e ""Índice de navegação por atributos"" em Sistema-> <a href=""%s"">Gestão de Cache</a>"
"Please select  items","Por favor seleccione os itens"
"Please select one or more attributes.","Por favor seleccione um ou mais atributos"
"Please select product(s)","Por favor seleccione produto(s)"
"Please select products for attributes update","por favor seleccione os produtos para actualiza de atributos"
"Please select static block ...","Por favor seleccione um bloco estático"
"Please set up merge date/time .","Por favor defina a união data/hora."
"Please specify date required option(s)","Por favor defina as opções obrigatórias para a data"
"Please specify the product option(s)","Por favor especifique as opções do produto"
"Please specify the product required option(s)","Por favor especifique as opções obrigatórias do produto"
"Please specify the product(s) quantity","Por favor especifique as quantidades dos produtos"
"Please specify time required option(s)","Por favor defina as opções obrigatórias para a hora"
"Please, use four-digit year format","Por favor utilize o formato de ano com quatro dígitos"
"Position","Posição"
"Position In Layered Navigation","Posição na Navegação por Atributos"
"Position of attribute in layered navigation block","Posição do atributo no bloco da navegação por atributos"
"Prev","Ant."
"Previous","Anterior"
"Price","Preço"
"Price Type","Tipo Preço"
"Price values for options should be specified in system base currency.","Os valores de preços para as opções devem ser especificados em sistema moeda base"
"Price:","Preço:"
"Print This Page","Imprimir esta página"
"Problem saving the collection, aborting. Error: %s","Problema ao guardar a colecção, abortado. Erro: %s"
"Product","Produto"
"Product %s successfully added to compare list","Produto %s adicionado à lista de comparação"
"Product %s successfully removed from compare list","Produto %s correctamente removido da lista de comparações"
"Product API","API Produto"
"Product Alerts","Alertas de Produto"
"Product Attribute","Atributo do Produto"
"Product Attributes","Atributos do produto"
"Product Categories","Categorias de produto"
"Product Description","Descrição do Produto"
"Product Image Placeholders","Sinalizadores de Imagens de Produtos"
"Product Image Watermarks","Sinalizadores de Marcadas de água de Produtos"
"Product Images","Imagens do Produto"
"Product Images API","API Imagens do Produto"
"Product In Websites","Produto nos Sites"
"Product Info Column","Coluna de Informação do Produto"
"Product Information","Informação do Produto"
"Product Name","Nome do Produto"
"Product Reviews","Análises ao produto"
"Product Tags","Etiquetas de Produtos"
"Product Tier Price API","API Descontos em quantidade do produto"
"Product Type","Tipo de Produto"
"Product URL Suffix","Sufixo da URL do produto"
"Product attribute sets API","API do grupo de atributos do produto"
"Product attribute was successfully deleted","O atributo do produto foi correctamente removido"
"Product attribute was successfully saved","O atributo do produto foi correctamente alterado"
"Product attributes API","API de atributos do produto"
"Product collection expected","Colecção de produtos esperada"
"Product deleted","Produto removido"
"Product duplicated","Produto duplicado"
"Product has required options","O produto tem opções obrigatórias"
"Product links API (related, cross sells, up sells)","API de links do produto (Relacionados, Vendas Superiores, Vendas Cruzadas )"
"Product listing sort by","Ordenar a visualização de produtos por"
"Product saving error.","Erro guardar produto"
"Product saving error. ","Erro guardar produto"
"Product types API","API dos tipos de produtos"
"Product was successfully created.","Produto criado correctamente"
"Product was successfully saved.","Produto guardado correctamente"
"Product with this combination of attributes already associated to configurable.","Já existe um produto com esta combinação de atributos associado a um configurável."
"Products","Produtos"
"Products Information","Informação dos Produtos"
"Products Reviews","Análises de produtos"
"Products Sitemap","Mapa do Sítio dos Produtos"
"Products only","Apenas produtos"
"Products per Page on Grid default value","Produtos por página por omissão na Vista em grelha"
"Products per Page on List allowed values","Produtos por página na Lista de valores permitidos"
"Products per Page on List default value","Produtos por página por omissão em Lista"
"Products per page on Grid allowed values","Produtos por página na Grelha de valores permitidos"
"Properties","Propriedades"
"Qty","Qt"
"Qty Uses Decimals","Qt. utiliza decimais"
"Qty for Item's Status to become Out of Stock","Qt. para o Estado fica Sem disponibilidade"
"Quick Create","Criação Rápida"
"Quick Overview","Visão rápida"
"Quick simple product creation","Criação rápida de um produto simples"
"Records for ""","Resultados para """
"Redirect","Redireccionar"
"Redirect URL","URL de redireccionamento"
"Regular Price:","Preço regular:"
"Related Products","Produtos relacionados"
"Remove","Remover"
"Remove Product","Remover produto"
"Remove Product From Websites","Remover Produto de Sites"
"Remove This Item","Remover este item"
"Remove product assignment","Remover associação do produto"
"Remove product image","Remover imagem do produto"
"Remove product link","Remover link do produto"
"Required","Obrigatório"
"Reset","Redefinir"
"Results","Resultados"
"Retrieve attribute data","Obter dados do atributo"
"Retrieve attribute list","Obter lista de atributos"
"Retrieve attribute options","Obter opções de atributos"
"Retrieve categories tree","Obter árvore das categorias"
"Retrieve category attributes","Obter atributos da categoria"
"Retrieve category data","Obter dados da categoria"
"Retrieve hierarchical tree","Obter listagem hierárquica"
"Retrieve linked products","Obter produtos ligados"
"Retrieve list of assigned products","Obter lista de produtos associados"
"Retrieve one level of categories by website/store view/parent category","Obter um nível de categorias por sítio/vista de loja/categoria superior"
"Retrieve product","Obter produto"
"Retrieve product attribute sets","Obter grupo de atributos do produto"
"Retrieve product image","Obter imagem do produto"
"Retrieve product image list","Obter lista de imagens do produto"
"Retrieve product image types","Obter lista de tipos de imagem"
"Retrieve product link type attributes","Obter atributos do tipo de link do produto"
"Retrieve product link types","Obter tipos de link do produto"
"Retrieve product tier prices","Obter descontos em quantidade do produto"
"Retrieve product types","Obter tipos de produto"
"Retrieve products data","Obter dados de produtos"
"Retrieve products list by filters","Obter tipos de produtos através de filtros"
"Review successfully deleted","Análise correctamente removida"
"Review was saved successfully","A análises foi guardada correctamente"
"Review was successfully saved","Análise correctamente guardada"
"Reviews","Análises"
"Roll Over for preview","Passe o rato por cima para ver"
"Root","Principal"
"SKU","SKU"
"Save","Guardar"
"Save And Continue Edit","Guardar e Continuar Edição"
"Save Attribute","Guardar Atributo"
"Save Attribute Set","Guardar Grupo de Atributos"
"Save Category","Guardar Categoria"
"Save Search","Guardar pesquisa "
"Saved ","Guardado"
"Scope","Espaço"
"Search","Pesquisa"
"Search Engine Optimizations","Optimizações Motores de Busca"
"Search Information","Informação de Pesquisa "
"Search Query","Texto a  pesquisar"
"Search Term was successfully saved","Termo de Pesquisa foi correctamente guardado"
"Search Term with such search query already exist.","Termo de pesquisa com essa consulta já existe"
"Search was successfully deleted","A pesquisa foi correctamente removida"
"Searchable","Pesquisável"
"Select Configurable Attributes ","Seleccione os atributos configuráveis"
"Select type of option","Seleccione o tipo de opção"
"Select type options required values rows.","Seleccione o tipo de opções obrigatórios nos valores da linha."
"Selected Product Types","Tipos de Produtos Seleccionados"
"Selected configuration is not available.","A configuração seleccionada não está disponível."
"Send Count","Enviar Contagem"
"Set Ascending Direction","Definir direcção ascendente"
"Set Descending Direction","Definir direcção descendente"
"Set Name","Definir Nome"
"Set Root Category For Store","Definir Categoria Principal para a Loja"
"Set root category for this store in the <a href=""%s"">configuration</a>","Defina a categoria mãe para esta loja na <a href=""%s"">configuração</a>"
"Set special price","Preço especial"
"Set/Get current store view","Definir/Obter vista actual de loja"
"Settings","Configurações"
"Shop by","Comprar por"
"Shopping Options","Opções de envio de encomenda"
"Show","Mostrar"
"Show Details","Mostrar Detalhes"
"Show Tags","Mostrar Etiquetas"
"Simple Product","Produto Simples"
"Site Map","Mapa do Sítio"
"Sitemap","Mapa do Site"
"Skip import row, is not valid value ""%s"" for field ""%s""","Ignorar importação da Linha, ""%s"" não é um valor válido para o campo ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Ignorar importação da Linha, campo obrigatório ""%s"" para novo cliente não definido"
"Skip import row, required field ""%s"" for new products not defined","Ignorar importação da Linha, campo obrigatório ""%s"" para novos produtos não definido"
"Skip import row, required field ""%s"" not defined","Ignorar importação da Linha, campo obrigatório ""%s"" não definido"
"Skip import row, store ""%s"" field not exists","Ignorar importação da Linha, campo da Loja ""%s"" não existe"
"Sort Order","Ordem Apresentação"
"Sort by","Ordenar por"
"Source Model","Código do Modelo"
"Special Price:","Preço especial:"
"Starting at:","Iniciando em:"
"Static","Estático"
"Static block and products","Bloco estático e produtos"
"Static block only","Apenas blocos estáticos"
"Status","Estado"
"Stock Availability","Disponibilidade inventário"
"Store","Loja"
"Store View","Vista Loja"
"Stretch","Ajustar"
"Subscribe to Feed","Subscrever o feed"
"Subscribe to RSS Feed","Subscrever para o feed RSS"
"Super product attributes configuration","Configuração de atributos de Super Produto"
"Synonym For","Sinónimo Para"
"Synonym for","Sinónimo Para"
"System","Sistema"
"System Properties","Propriedades do sistema"
"Tag Name","Nome da etiqueta"
"Tax","Imposto"
"Text","Texto"
"Text Area","Área de texto"
"Text Field","Campo de texto"
"There are no %s available.","Não está disponível %s."
"There are no customers for this alert","Não existem clientes para este alerta"
"There are no products matching the selection.","Não existem produtos que correspondam à selecção"
"There was an error while adding products to websites","Ocorreu um erro enquanto adicionava produtos ao site"
"There was an error while cleared compare list","Ocorreu um erro ao limpar a lista de comparações entre produtos"
"There was an error while removing products from websites","Ocorreu um erro enquanto removia produtos do site"
"There was an error while updating product(s) attributes","Ocorreu um erro ao actualizar os atributos dos produtos"
"There was an error while updating product(s) status","Ocorreu um erro ao actualizar o estados do(s) produto(s)"
"This attribute no longer exists","Este atributo já não existe"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Este grupo contém atributos utilizador em produtos configuráveis. Por favor mova esses atributos para outro grupo e tente novamente."
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contém atributos de sistema. Por favor mova os atributos de sistema para outro grupo e tente novamente."
"This is a required option","Esta opção é obrigatória"
"This search no longer exists","Esta pesquisa já não existe"
"Tier Pricing","Preços de quantidade"
"Tile","Cobertura"
"Time format","Formato da Hora"
"Title","Título"
"Top/Left","Superior/Esquerdo"
"Top/Right","Superior/Direito"
"Total Qty Base Items","Qt. total itens base"
"Total incl. Tax: %1$s","Total incl. Imposto: %1$s"
"Total of %d record(s) were successfully deleted","Um total de %d registo(s) foram correctamente removidos"
"Total of %d record(s) were successfully updated","Um total de %d registo(s) foram correctamente actualizados"
"Type","Tipo"
"Unable to complete request. Please try again later.","Incapaz de terminar o pedido. Por favor tente novamente mais tarde."
"Unable to find a search term to delete","Não foi possível encontrar o termo de pesquisa para remover"
"Unable to find an attribute to delete","Incapaz de encontrar o atributo a remover"
"Unable to get product id.","Incapaz de encontrar a id do produto."
"Unassigned Attributes","Atributos por atribuir"
"Unique Value","Valor único"
"Unique Value (not shared with other products)","Valor único (não é partilhado com outros produtos)"
"Unknown attribute: %s","Atributo desconhecido: %s"
"Up-sells","Vendas Superiores"
"Update","Actualizar"
"Update Attributes","Actualizar atributos"
"Update Tier Price","Actualizar Preços de desconto por quantidade"
"Update assigned product","Actualizar produto associado"
"Update attributes","Actualizar atributos"
"Update category","Actualizar categoria"
"Update product","Actualizar produto"
"Update product image","Actualizar imagem do produto"
"Update product link","Actualizar link do produto"
"Update product tier prices","Actualizar descontos por quantidade do produto"
"Upload new product image ","Carregar nova imagem do produto"
"Url","Url"
"Url Rewrite Management","Gestão de rescritas de URL"
"Url rewrie save problem.","Erro ao guardar a rescrita de URL"
"Use Config Settings","Utilizar definições de configuração"
"Use Default Value","Utilizar Valor por Omissão"
"Use Flat Catalog Category","Usar catálogo fixo de categorias"
"Use Flat Catalog Product","Usar catálogo fixo de produtos"
"Use In Layered Navigation","Usar na Navegação por Atributos"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Usar na Navegação por atributos<br>(Apenas pode ser usado com a entrada de catálogo do tipo 'Menu de Selecç0')"
"Use In Search Results Layered Navigation","Utilizar a Navegação por Atributos nos Resultados de Pesquisa"
"Use JavaScript Calendar","Utilizar calendário em JavaScript"
"Use To Create Configurable Product","Utilize Para Criar Produto Configurável"
"Use Tree Like Category Sitemap","Usar mapa do site em forma árvore"
"Use categories path for product URLs","Usar o caminho das categorias para a Url dos produtos"
"Use in advanced search","Utilizar na pesquisa avançada"
"Use in quick search","Usar na pesquisa rápida"
