"* Required Fields","* Campos obrigatórios"
"Date of Birth is required.","A data de nascimento é obrigatória"
"Day","Dia"
"Days in Wishlist","Dias na Lista de Presentes"
"Default Addresses","Endereço por Omissão"
"Default Billing Address","Endereço de facturação por omissão"
"Default Email Domain","Domínio de email por omissão"
"Default Group","Grupo por Omissão"
"Default Shipping Address","Endereço de envio por omissão"
"Default Welcome Email","Email de boas-vindas por omissão"
"Delete","Remover"
"Delete Address","Remover endereço"
"Delete Customer","Remover Cliente"
"Delete Customer Group","Remove Grupo de Clientes"
"Delete customer","Remover Cliente"
"Delete customer address","Remover endereço do cliente"
"Deleted Stores","Lojas Removidas"
"Details","Detalhes"
"Disabled","Inactivo"
"Edit","Editar"
"Edit Account Info","Editar informações da Conta"
"Edit Account Information","Editar Informação da Conta"
"Edit Address","Editar Endereço"
"Edit Address Entry","Editar registo"
"Edit Customer Group ""%s""","Editar Grupo do Cliente ""%s"""
"Edit Customer Groups","Editar grupo de clientes"
"Edit Customer's Address","Editar Endereço do Cliente"
"Edit Group","Editar Grupo"
"Edit Newsletter Subscription","Editar subscrição de Newsletter"
"Edit Newsletters","Editar Newsletter"
"Edit Personal Information","Editar Informação Pessoal"
"Email","Email"
"Email Address","Endereço de Email"
"Email Sender","Remetente Email"
"Entity collection is expected","Colecção de Entidades esperada"
"Error during retrieval of option value: %s","Erro durante a recepção do valor da opção: %s"
"Ext. Price","Preço est."
"Failed to confirm customer account.","Falha ao confirmar conta do cliente."
"Fax","Fax"
"First Name","Primeiro Nome"
"First name can't be empty","O primeiro nome não pode ficar em branco"
"Forgot Email Sender","Remetente para recuperação email"
"Forgot Email Template","Template para recuperação email"
"Forgot Your Password?","Esqueceu-se da sua palavra-passe?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","A partir do sumário da Minha Conta, tem a possibilidade de ver um resumo da sua actividade recente e de actualizar a informação da sua conta. Seleccione uma ligação abaixo para editar ou visualizar."
"General Subscription","Subscrição Geral"
"Global","Global"
"Go to Address Book","Voltar ao Livro de Endereços"
"Grand Total","Total"
"Grand Total: %s","Total final: %s"
"Group","Grupo"
"Group ""%s"" can not be deleted","O grupo ""%s"" não pode ser removido"
"Group Information","Informação do Grupo"
"Group Name","Nome do Grupo"
"Guest","Convidado"
"HTML","HTML"
"Hello, %s!","Viva, %s!"
"ID","ID"
"IP Address","Endereço IP"
"If you have an account with us, please log in.","Se já tem uma conta, por favor inicie sessão"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Opção de atributo inválida para atributo especificado. Ignorando registo"
"Invalid attribute set specified, skipping the record","Grupo de atributos especificado inválido. Ignorando o registo"
"Invalid current password","Palavra-passe actual inválida"
"Invalid customer data","Dados de cliente inválidos"
"Invalid email address","Endereço de Email inválido"
"Invalid email address ""%s""","Endereço de email inválido ""%s"""
"Invalid login or password.","Nome de utilizador ou palavra-passe inválido"
"Invalid option id specified for %s (%s), skipping the record","Id de opção especificada inválida para %s (%s), ignorando os dados"
"Invalid store specified, skipping the record","Loja inválida especificada, ignorando registo"
"Items Order","Itens da encomenda"
"Last 5 Orders","Últimas 5 encomendas"
"Last Activity","Última actividade"
"Last Name","Apelido"
"Last Url","Última Url"
"Last Viewed Items","Últimos itens vistos"
"Last date subscribed","Última data de subscrição"
"Last date unsubscribed","Última data de cancelamento de Subscrição"
"Last name can't be empty","O apelido não pode ficar em branco"
"Leave empty for default (15 minutes).","Deixe em branco para valor por omissão (15 minutos)"
"Leave empty for default (2). Valid range: 1-4","Deixe em branco para valor por omissão (2). Valores entre 1-4"
"Lifetime Sales","Total acumulado de Vendas"
"Log In","Iniciar Sessão"
"Log Out","Terminar sessão"
"Log in or Create an Account","Iniciar sessão ou criar uma conta"
"Login","Iniciar Sessão"
"Login Information","Informação de inicio de sessão"
"Login and password are required","Nome de utilizador e palavra-passe obrigatórios"
"Login or Create an Account","Iniciar Sessão ou Criar uma Conta"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Gerir endereços"
"Manage Customers","Gerir Clientes"
"Missing email, skipping the record","Email não encontrado, ignorando registo"
"Missing firstname, skipping the record","Primeiro nome não encontrado, ignorando registo"
"Missing lastname, skipping the record","Apelido não encontrado, ignorando registo"
"Month","M&ecirc;s"
"My Account","A Minha Conta"
"My Account Dashboard","Painel da Minha Conta"
"My Dashboard","O Meu Painel"
"My Orders","As minhas encomendas"
"My Reviews","As minhas análises"
"My Tags","As minhas Etiquetas"
"My Wishlist","A Minha Lista de Presentes"
"Name","Nome"
"Name and Address Options","Opções de Nome e Endereço"
"Never","Nunca"
"New Address","Novo endereço"
"New Address Entry","Adicionar novo endereço"
"New Customer","Novo cliente"
"New Customer Address","Endereço de novo utilizador"
"New Customer Group","Novo Grupo de Clientes"
"New Customer Groups","Novo Grupo Clientes"
"New Customers","Novos Clientes"
"New Group","Novo grupo"
"New Password","Nova palavra-passe"
"New account","Nova Conta"
"New account confirmation key","Chave de confirmação de nova conta"
"New account confirmed","Nova conta confirmada"
"New password","Nova Palavra-passe"
"Newsletter","Newsletter"
"Newsletter Finish","Newsletter Terminada"
"Newsletter Information","Informação de Newsletter"
"Newsletter Received","Newsletter Recebida"
"Newsletter Start","Início Newsletter"
"Newsletter Subscription","Subscrição Newsletter"
"Newsletters","Newsletters"
"No Items Found","Não foram encontrados resultados"
"No Newsletter Found","Não foi encontrado nenhuma Newsletter"
"No item specified.","Nenhum item especificado."
"No product collections found","Não foram encontradas colecções de produtos"
"Not Sent","Não enviado"
"Not confirmed, can login","Não confirmado, pode iniciar sessão"
"Not confirmed, cannot login","Não confirmado, não pode iniciar sessão"
"Number of lines in a street address ","Número de linhas no endereço"
"Offline","Desligado"
"Online","Ligado"
"Online Customers","Clientes online"
"Online Customers Options","Opções de Clientes Online"
"Online Minutes Interval","Intervalo de Minutos Online"
"Order #","Encomenda #"
"Order #%s (%s)","Encomenda $%s (%s)"
"Order List...","Lista de encomendas..."
"Order Total","Total encomendado"
"Orders","Encomendas"
"PDF","PDF"
"Password","Palavra-passe"
"Password Management","Gestão de Palavras-passe"
"Password Options","Opções de Palavra-passe"
"Password can't be empty","A palavra-passe não pode ficar em branco"
"Password fields can't be empty.","Deve preesncher os campos de palavra-passe"
"Password forgotten","Esqueci-me da palavra-passe"
"Password minimal length must be more %s","O número mínimo de caracteres na palavra-passe é de %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","A palavra-passe deverá conter 6 caracteres."
"Paused","Pausado"
"Payment Method","Método de Pagamento"
"Pending","Pendente"
"Per Website","Por Site"
"Personal Information","Informação Pessoal"
"Please enter your email below and we'll send you a new password.","Por favor insira o seu email abaixo para lhe ser enviada a nova palavra-passe"
"Please enter your email below and we'll send you confirmation link for it.","Por favor insira o seu email e ser-lhe-á enviado um link de confirmação"
"Please enter your email.","Por favor insira o seu email"
"Please make sure your passwords match.","Por favor confirme que as duas palavras-passe coincidem"
"Please select","Por favor seleccione"
"Please select region, state or province","Por favor seleccione uma região, estado ou província"
"Please, check your e-mail for confirmation key.","Por favor verifique o seu email para a chave de confirmação"
"Prefix","Prefixo"
"Prefix dropdown options","Prefixo de opções de selecção"
"Price","Preço"
"Primary Billing Address","Endereço de facturação primário"
"Primary Shipping Address","Endereço de envio primário"
"Problem saving the collection, aborting. Error: %s","Problema ao guardar a colecção, abortado. Erro: %s"
"Product","Produto"
"Product ID","ID do Produto"
"Product Name","Nome do Produto"
"Product Reviews","Análises ao produto"
"Product Tags","Etiquetas de Produtos"
"Product name","Nome do Produto"
"Purchase On","Compras ligadas"
"Purchased at","Comprado em"
"Qty","Qt"
"Recent Orders","Encomendas recentes"
"Records for ""","Resultados para """
"Refunded","Reembolsado"
"Registered Customers","Clientes registados"
"Remove","Remover"
"Require Emails Confirmation","Requerer emails de confirmação"
"Retrieve address data","Obter dados de endereço"
"Retrieve address info","Obter informação de endereço"
"Retrieve customer addresses","Obter endereços do cliente"
"Retrieve customer data","Obter informação do cliente"
"Retrieve customer's groups","Obter grupos do cliente"
"Retrieve customers","Obter clientes"
"Retrieve customers info","Obter informação de clientes"
"Retrieve your confirmation link here","Obtenha o seu link de confirmação aqui"
"Retrieve your password here","Recupere aqui a sua palavra-passe"
"SKU","SKU"
"Sales Statistics","Estatísticas de Vendas"
"Save","Guardar"
"Save Address","Guardar endereço"
"Save And Continue Edit","Guardar e Continuar Edição"
"Save Customer","Guardar Cliente"
"Save Customer Group","Guardar Grupo de Clientes"
"Save Password","Guardar Palavra-passe"
"Saved ","Guardado"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Valores separados por Ponto e vírgula (;). <br/>Coloque o ponto e vírgula no início para deixar em branco a primeira opção.<br/> Deixe em branco para campo de texto."
"Send Welcome Email after Confirmation","Enviar email de boas-vindas após confirmação"
"Send auto-generated password","Enviar palavra-passe gerada automaticamente"
"Send confirmation link","Enviar link de confirmação"
"Send welcome email","Enviar email de boas-vindas"
"Sending","A Enviar"
"Sent","Enviado"
"Session Start Time","Hora de Início de Sessão"
"Set as Default Billing Address","Utilizar por omissão como endereço de facturação"
"Set as Default Shipping Address","Marcar como endereço de envio por omissão"
"Share Customer Accounts","Partilhas Conta dos Clientes"
"Ship to First name","Nome de Envio"
"Ship to Last name","Apelido de Envio"
"Shipped to First Name","Nome de Envio"
"Shipped to Last Name","Apelido de Envio"
"Shipped to Name","Nome de Envio"
"Shipping Information","Informação de Envio"
"Shipping Method","Método de Envio"
"Shopping Cart","Carrinho de Compras"
"Shopping Cart - %d item(s)","Carrinho de Compras - %s item(ns)"
"Show Tax/VAT number","Mostrar Número Imposto/Taxa"
"Show date of birth","Mostrar data de nascimento"
"Show middle name (initial)","Mostrar nome do meio (inicial)"
"Show prefix","Mostrar prefixo"
"Show suffix","Mostrar sufixo"
"Sign Up for Newsletter","Subscrever a Newsletter"
"Sign up for our newsletter","Subscreva a nossa Newsletter"
"Skip import row, required field ""%s"" not defined","Ignorar importação da Linha, campo obrigatório ""%s"" não definido"
"Skip import row, website ""%s"" field not exists","Ignorar importação da Linha, campo do website ""%s"" não existe"
"State/Province","Estado/Província"
"Status","Estado"
"Store","Loja"
"Store View","Vista Loja"
"Street Address","Rua"
"Street Address ","Rua"
"Subject","Assunto"
"Submit","Submeter"
"Subscribe","Subscrever"
"Subscribe to newsletter","Subscrever newsletter"
"Subscribed to Newsletter?","Subscrever Newsletter?"
"Suffix","Sufixo"
"Suffix dropdown options","Opções de selecção do sufixo"
"TAX/VAT number is required.","O número de Imposto/VAT é obrigatório"
"Tag Name","Nome da etiqueta"
"Tax Class","Classe de imposto"
"Tax class","Classe de Imposto"
"Tax/VAT number","Tax/VAT nº (CPF/CNPJ,necessário para os brasileiros)"
"Telephone","Telefone"
"Text","Texto"
"Text One Line","Texto numa linha"
"Thank you for registering with %s","Obrigado por se registar com %s"
"The address does not belong to this customer","Este endereço não pertence a este cliente"
"The address was successfully deleted","O endereço foi correctamente removido"
"The address was successfully saved","O endereço foi guardado correctamente"
"The suffix that goes after name (Jr., Sr., etc.)","O sufixo que se segue após o nome (Sr, Dr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","O título que vem antes do nome (Sr, Men, etc)"
"There are no items in customer's wishlist at the moment","Não existem itens na Lista de Presentes do Cliente"
"There are no items in customer's shopping cart at the moment","Não existem produtos no carrinho de compras do cliente neste momento"
"There was an error while deleting the address","Erro enquanto removia o endereço"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Este email será enviado ao invés do email por omissão, depois de confirmada uma conta"
"This account is not confirmed.","Esta conta não está confirmada"
"This customer has no saved addresses.","Este cliente não tem endereços guardados"
"This e-mail does not require confirmation.","Este email não requer confirmação"
"This email address was not found in our records","Este endereço de email não foi encontrado nos registos"
"This is My Primary %s Address","Este é o meu Endereço Primário %s"
"To Cart","Para o carrinho"
"Total","Total"
"Type","Tipo"
"Unknown","Desconhecido"
"Unsubscribe from newsletter","Cancelar subscrição da Newsletter"
"Update","Actualizar"
"Update customer address data","Actualizar endereços de cliente"
"Update customer data","Actualizar informações de cliente"
"Use as My Primary %s Address","Utilizar %s como o meu endereço primário"
"Use as my default billing address","Utilizar como endereço de facturação por omissão"
"Use as my default shipping address","Utilizar como endereço de envio por omissão"
"User description","Descrição do utilizador"
"View","Ver"
"View Order","Ver encomenda"
"View Order List","Ver lista de encomendas"
"Visible In","Visível em"
"Visitor","Visitante"
"Visitors Only","Apenas visitantes"
"Website","Site"
"Welcome Email","Email de boas-vindas"
"Wishlist","Lista de Presentes"
"Wishlist - %d item(s)","Lista de Presentes - %d item(ns)"
"Wrong confirmation key.","Chave de confirmação inválida."
"Wrong customer account specified.","Conta de cliente incorrecta"
"Wrong email.","Email errado"
"Wrong region id by selected country","ID de Região inválido para país seleccionado"
"Wrong transactional account email type.","Transacção do tipo de conta de email inválida"
"XML","XML"
"YYYY","AAAA"
"Year","Ano"
"You are currently not subscribed to any newsletter.","Não tem actualmente nenhuma Newsletter subscrita"
"You are currently not subscribed to our newsletter","Não está actualmente a subscrever a nossa Newsletter"
"You are currently subscribed to 'General Subscription'.","Está actualmente inscrito na 'Subscri&ccedilão Geral'"
"You are currently subscribed to our newsletter","Está actualmente a receber a nossa Newsletter"
"You are currently subscribed to our newsletter.","Está actualmente a subscrever a nossa Newsletter"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Terminou com sucesso a sua sessão e será redireccionado para a página principal dentro de 5 segundos"
"You have no additional address entries in your address book.","Não tem endereços adicionais no seu Livro de Endereços"
"You have no additional entries in your address book.","Não tem registos adicionar no seu Livro de Endereços"
"You have no default billing address in your address book.","Não tem nenhum endereço de facturação por omissão no seu Livro de Endereços."
"You have no default shipping address in your address book.","Não tem endereço de destino por omissão no seu Livro de Endereços"
"You have no primary entries in your address book.","Não tem registos no seu livro de endereços"
"You have not set a primary billing address.","Ainda não definiu um endereço de facturação primário."
"You have not set a primary shipping address.","Não tem definido um endereço de envio primário"
"You have placed no orders yet.","Ainda não efectuou nenhuma encomenda"
"You have placed no products yet.","Ainda não adicionou nenhum produto"
"You're now Logged Out","Terminou agora a sua sessão"
"Your account balance is: %s","O saldo da sua conta é de: %s"
"ZIP","Código Postal"
"ZIP/Post Code","Código Postal"
"ZIP/Postal Code","Código Postal"
"Zip/Postal Code","Código Postal"
"n/a","N/D"
"or","OU"
"First name can't be empty","O primeiro nome não pode ficar em branco"
"Last name can't be empty","O apelido não pode ficar em branco"
"Password can't be empty","A palavra-passe não pode ficar em branco"


"Email Address","Endereço de Email"
"* Required Fields","* Campos obrigatórios"
"You are now logged out","Você agora está desconectado"
"You have logged out and will be redirected to our homepage in 5 seconds.","Você não sair e será redirecionado para nossa página inicial em 5 segundos."
"Please enter your email address below. You will receive a link to reset your password.","Por favor, insira seu endereço de e-mail abaixo. Você receberá um link para redefinir sua senha."
"If you have an account with us, please log in.","Se você tem uma conta conosco, faça o login dentro"
"Billing Agreements","Acordos de faturamento"
"Recurring Profiles","Perfis recorrentes"
"There are no recurring profiles yet.","Não há perfis recorrentes ainda."
"This Contributor has not submitted any reviews.","Este contribuinte não apresentou comentários."
"You have not tagged any products yet.","Você ainda não marcou nenhum produto ainda."
"Product Details and Comment","Detalhes do produto e comentar"
"My Applications","Meus Aplicativos"
"You have no applications.","Você não tem aplicações."
"Newsletter Subscriptions","Subscrição de Newsletters"
"My Downloadable Products","Meus produtos para download"
"You have not purchased any downloadable products yet.","Você ainda não comprou quaisquer produtos para download ainda."
"There are no billing agreements yet.","Não existem acordos de faturamento ainda."
"Your order has been received.","Seu pedido foi recebido."
"Your order # is: %s.","Seu pedido # é: %s."
"Shopping Cart is Empty","Carrinho de Compras está vazio"
"Click <a href=""%s"">here</a> to continue shopping.","Clique <a href=""%s"">aqui</a> para continuar a fazer compras."
"Please wait, processing your order...","Aguarde, processando seu pedido ..."
"My Wishlist","A minha lista"
"Last Ordered Items","Últimos itens encomendados"
"Ship To","Enviar Para"
"Grand Total to be Charged","Total geral a ser cobrado"

"WELCOME","BEM-VINDO"
"New to iMerle","Novo a iMerle"
"iMerle service pledge:","Garantia de serviço de iMerle:"
"1.Easy return","1.Devolução fácil"
"2.quick order check","2.Verificação rápida de pedido"
"3.Secure payment","3.Pagamento seguro"
"4.Smile service","4.Serviço de sorriso"
"Login to iMerle","Acessa a iMerle"
"Your E-mail address:","O seu endereço de e-mail"

"Already have an account?","Já tem uma conta?"
"Why Shop at iMerle.com?","Por que comprar em imerle.com?"
"1. Be yourself! Be different","1. Seja você mesmo! Seja diferente!"
"2.Convenient shopping experience","2.Compra com conveniência"
"3.Always Competitive Price","3.Sempre Preço Competitivo"
"4.Be surprised!!","4.Ficar surpreendidos!!"
"5.Global Shipping","5.Entrega para todo o Mundo"
"6.Friendly Customer Service","6.Apoio ao Cliente Amigável"
