"%s already exist","%s já existe"
"%s already exists","%s já existe"
"-- Please Select --","-- Por Favor Seleccione --"
"Custom email 1","Email personalizado 1"
"Custom email 2","Email personalizado 2"
"Customer support","Apoio cliente"
"Date From","Data início"
"Date To","Data Fim"
"Date/time format ""%s"" is not supported.","O formato da Data/Hora não é suportado ""%s"""
"Debug","Depuração"
"Default","Por Omissão"
"Default Description","Descrição por omissão"
"Default Keywords","Palavras-chave por omissão"
"Default Pages","Páginas por omissão"
"Default Robots","Robots por omissão"
"Default Store","Loja por omissão"
"Default Store View","Vista de Loja por omissão"
"Default Title","Título Omissão"
"Default country","País por omissão"
"Default no-route url","Url sem rota por omissão"
"Default web url","Url web por omissão"
"Delete","Remover"
"Delete Store","Remover Loja"
"Delete Store View","Remover Vista Loja"
"Delete Website","Remover Site"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Remover um %1$s não irá remover a informação asscoiada com %1$s (ex: categorias, produtos, etc), mas o %1$s não poderá ser restaurado. É aconselhável que faça uma cópia de segurança da Base de Dados antes de remover %1$s."
"Design","Desenho"
"Design Change","Alteração ao Desenho"
"Developer","Programador"
"Developer Client Restrictions","Restrições de Clientes Programador"
"Disable email communications","Não permitir comunicações por email"
"Disable modules output","Desactivar mostragem dos módulos"
"Duplicate Of Template Code","Duplicado do código de Template"
"Edit Design Change","Editar Alteração ao Desenho"
"Edit Store","Editar Loja"
"Edit Store View","Editar Vista Loja"
"Edit Website","Editar site"
"Empty identifier field name","Nome do identificador do campo vazio"
"Empty main table name","Limpar o nome da tabela principal"
"Enabled","Activo"
"Enabled for Admin","Activar para o Admin"
"Enabled for Frontend","Activar para o catálogo"
"Error in file: ""%s"" - %s","Erro no ficheiro: ""%s"" - %s"
"Error while saving. Please try again later.","Erro enquanto guardava. Por favor tente novamente mais tarde"
"Error: Passwords do not match","Erro: As duas palavra-passes não coincidem"
"Exceptions Log File Name","Nome do ficheiro para registo de excepções"
"First Day of Week","Primeiro dia da semana"
"Footer","Rodapé"
"Forgot Password Email Sender","Remetente do Email para Esquecimento de Palavra-passe"
"Forgot Password Email Template","Template do Email para esquecimento da palavra-passe"
"General","Geral"
"General Settings","Opções Gerais"
"General contact","Contacto Geral"
"Global","Global"
"HTML Head","HTML Head"
"Header","Cabeçalho"
"Host","Servidor"
"Id path for specified store","ID do Caminho para a loja especificada"
"Incorrect credit card expiration date","Data de expiração do cartão de crédito errada"
"Invalid base url type","Tipo de URL base inválido"
"Invalid block name to set child %s: %s","Definido nome de Bloco inválido para a sub-categoria %s: %s"
"Invalid block type: %s","Tipo de Bloco inválido: %s"
"Invalid block: %s","Bloco inválido: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Argumento de actualização do Layout inválido, esperado Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Erro ao actualizar o layout"
"Invalid messages storage ""%s"" for layout messages initialization","Mensagem inválida ""%s"" para a inicialização de mensagens de layout"
"Invalid transactional email code: ","Código de transacção de email inválido"
"Invalid websites configuration path: %s","Caminho de configuração de sites inválido: %d"
"Layout","Apresentação"
"Layouts","Layouts"
"Leave empty for access from any location","Deixe em branco para aceder de qualuqer localização"
"Locale","Região"
"Locale options","Opções de Localização"
"Log Settings","Opções de registos"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","Registando a partir de Mage::log(). O ficheiro está localizado em {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","Registando a partir de Mage::logException(). O ficheiro está localizado em {{base_dir}}/var/log"
"Logo Image Alt","Texto alternativo ao logótipo"
"Logo Image Src","Endereço do logótipo"
"Manage Stores","Gerir Lojas"
"Match expressions in the same order as displayed in the configuration.","Coincidir expressões na mesma ordem como mostradas na configuração"
"Miscellaneous HTML","HTML vário"
"Miscellaneous scripts","Outros scripts"
"Model class does not exist: %s","A classe do Modelo não existe: %s"
"Model collection resource name is not defined","O nome do recurso da colecção de modelo não está definida"
"Module ""%1$s"" can not be depended from ""%2$s""","O módulo ""%1$s"" não pode depender de ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","O Módulo %1$s"" requer o módulo %2$s"""
"Name","Nome"
"New Design Change","Nova Alteração ao Desenho"
"New Store","Nova Loja"
"New Store View","Nova Vista Loja"
"New Website","Novo site"
"No","Não"
"Package","Pacote"
"Please choose to register or to checkout as a guest","Por favor escolhe se se deseja registar ou finalizar a encomenda como convidado"
"Please define flag code.","Por favor defina o código da bandeira"
"Please enter 6 or more characters.","Por favor insira 6 ou mais caracteres"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Por favor insira 6 ou mais caracteres. Espaços serão removidos"
"Please enter a number greater than 0 in this field.","Por favor insira neste campo um número maior que 0."
"Please enter a valid $ amount. For example $100.00.","Por favor insira um valor válido. Por exemplo ?100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor insira uma URL válida. Ex: http://www. exemplo.com ou www. exemplo.pt"
"Please enter a valid URL. http:// is required","Por favor insira uma URL válida. http:// é obrigatório"
"Please enter a valid credit card number.","Por favor insira um número de cartão de crédito válido"
"Please enter a valid date.","Por favor insira uma data válida"
"Please enter a valid email address. For example johndoe@domain.com.","Por favor insira um email válido. Por exemplo eu@ exemplo.com"
"Please enter a valid number in this field.","Por favor insira neste campo um email válido"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor insira um número de telefone válido. Por exemplo 456-7890 ou 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Por favor insira o número de segurança social. Por exemplo: 123-45-6789"
"Please enter a valid zip code.","Por favor insira um código postal válido"
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor insira uma código postal válido. Ex: 4750 ou 4750-144"
"Please enter valid password.","Por favor insira uma palavra-passe válida"
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Por favor confirme que a URL base termina com '/' (barra), ex: http://www.dominio.com/magento/"
"Please make sure your passwords match.","Por favor confirme que as duas palavras-passe coincidem"
"Please select State/Province.","Por favor seleccione o Estado/Província"
"Please select an option.","Por favor seleccione uma opção"
"Please select one of the above options.","Por favor seleccione uma das opções acima"
"Please select one of the options.","Por favor seleccione uma das opções"
"Please specify payment method.","Por favor especifique o método de pagamento"
"Please specify shipping method.","Por favor especifique o método de envio"
"Please use letters only (a-z or A-Z) in this field.","Por favor utilize apenas letras (azA-Z) neste campo"
"Please use letters only (a-z) in this field.","Por favor utilize apenas letras neste campo (a-z)."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Por favor utilize apenas números neste campo. Por favor evite espaços ou outros caracteres como pontos e vírgulas"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor utilize apenas letras (a-z) ou números (0-9) neste campo. Não são permitidos espaços ou outros caracteres"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Por favor utilize apenas letras (a-z) ou números ou espaços e # apenas neste campo"
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Por favor utilize apenas letras (a-z), números (0-9) ou Sublinhado _ neste campo, o primeiro carácter deve ser uma letra."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor use o seguinte formato de data: dd/mm/aaaa. Por exemplo 22/09/1984 para 22 de Setembro de 1984"
"Please wait, loading...","Por favor aguarde, a carregar..."
"Polls","Sondagens"
"Port (25)","Porta (25)"
"Profiler","Perfil de Desempenho"
"Prototype Deprecation Log","Registo de Prototype Deprecation"
"Request path for specified store","Caminho pedido para a loja especificada"
"Requested invalid store ""%s""","Pedido de Loja inválido ""%s"""
"Resource is not set","O recurso não está definido"
"Root Category","Categoria Mãe"
"SMTP settings (Windows server only)","Configurações SMTP (Apenas windows)"
"Sales representative","Comercial"
"Save","Guardar"
"Save Store","Guardar Loja"
"Save Store View","Guardar Vista de Loja"
"Save Website","Guardar Site"
"Search Engines Optimization","Optimização Motores de Pesquisa"
"Secure","Seguro"
"Security","Segurança"
"Select Date","Seleccionar Data"
"Sender email","Email do remetente"
"Sender name","Nome Remetente"
"Services","Serviços"
"Session Cookie management","Gestão de cookies de Sessão"
"Session Lifetime, Seconds","Tempo útil de sessão, em segundos"
"Session Validation Settings","Opções de Validação de Sessão"
"Set as default","Marcar para Omissão"
"Skin (Images / CSS)","Skin (Imagens/CSS)"
"Sort order","Ordem Apresentação"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","A Data/Hora especificada ""%1$s"" não correspondem ao formato ""%2$s""."
"Specify either category or product, or both.","Especifique a categoria o produto ou ambos"
"Start date can't be greater than end date","A data de início não pode ser posterior à data do fim"
"Startup page","Página de início"
"Status","Estado"
"Store","Loja"
"Store Email Addresses","Endereços de email da Loja"
"Store Information","Informação da Loja"
"Store Name","Nome Loja"
"Store View","Vista Loja"
"Store View Information","Informação da Vista de Loja"
"Store View Name","Nome da Vista de Loja"
"Store View was successfully saved","Vista de Loja corectamente guardada"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","O código da Loja apenas pode conter letras (a-z), números (0-9) ou sublinhado (_), o primeiro carácter deve ser uma letra"
"Store doesn't exist","A Loja não existe"
"Store view doesn't exist","A Vista de Loja não existe"
"Store view was successfully deleted.","Vista de Loja corectamente removida"
"Store was successfully deleted.","A Loja foi correctamente removida"
"Store was successfully saved","A Loja foi correctamente guardada"
"Store with the same code","Loja com o mesmo código"
"System","Sistema"
"System Log File Name","Nome do ficheiro de registo do Sistema"
"Template Path Hints","Sugestões de caminho do Template"
"Templates","Templates"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","O %s que inseriu não é válido. Por favor confirme que está no formato ""http://domain.com/"""
"Themes","Temas"
"This category and all its child elements","Esta categoria e todas as suas subcategorias"
"This category and its child categories only","Esta categoria e apenas a sua subcategoria"
"This category and its products only","Esta categoria e os seus produtos apenas"
"This category only","Apenas esta categoria"
"This is a required field.","Este campo é obrigatório"
"This store cannot be deleted","Esta Loja não pode ser removida"
"This store cannot be deleted.","Esta Loja não pode ser removida."
"This store view cannot be deleted","Esta Vista de Loja não pode ser removida"
"This store view cannot be deleted.","Esta Vista de Loja não pode ser removida."
"This website cannot be deleted","Este Site não pode ser removido"
"This website cannot be deleted.","Este Site não pode ser removido."
"This will be displayed just before body closing tag","Será mostrado antes da tag que fecha o body"
"This will be included before head closing tag in page HTML","Será incluído antes de fechar a tag head em cada página HTML"
"Timezone","Fuso Horário"
"Title Prefix","Prefixo do Título"
"Title Suffix","Sufixo do Título"
"Translate Inline","Tradução online"
"Translate cache should be disabled for both Frontend and Admin inline translations","O cache de tradução deve ser desabilitado para o frontend e backend em traduções online"
"Translations","Traduções"
"Unable to delete store view. Please, try again later.","Não foi possível remover a Vista de Loja. Tente novamente mais tarde"
"Unable to delete store. Please, try again later.","Não foi possível remover a Loja. Por favor tente novamente mais tarde."
"Unable to delete website. Please, try again later.","Não foi possível remover o Site. Por favor tente novamente mais tarde."
"Unable to proceed. Please, try again","Erro ao executar a acção. Por favor tente novamente mais tarde."
"Unknown scope ""%s""","Espaço desconhecido ""%s"""
"Unsecure","Inseguro"
"Url Options","Opções url"
"Use HTTP Only","Usar apenas HTTP"
"Use Secure URLs in Admin","Usar URL seguras na administração"
"Use Secure URLs in Frontend","Usar URL seguras na Loja"
"Use Web Server Rewrites","Utilizar rescritas de URL"
"Use custom admin URL","Utilizar URL de administração personalizada"
"Validate HTTP_USER_AGENT","Validar HTTP_USER_AGENT"
"Validate HTTP_VIA","Validar HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validar HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validar REMOTE_ADDR"
"Values less than 60 are ignored.","Valores inferiores a 60 são ignorados"
"Web","Web"
"Website","Site"
"Website Information","Informação do Site"
"Website Name","Nome Site"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","O código do Site apenas pode conter letras (a-z), números (0-9) ou sublinhado (_), o primeiro carácter deve ser uma letra"
"Website doesn't exist","O Sítio não existe"
"Website was successfully deleted.","Site correctamente removido."
"Website was successfully saved","Site correctamente guardado"
"Website with the same code","Site com o mesmo código"
"Weekend Days","Ao fim-de-semana"
"Welcome Text","Texto de boas-vindas"
"Wrong number of arguments for %s","Número de argumentos inválidos para %s"
"Yes","Sim"
"Your order can not be completed at this time as there is no payment methods available for it.","A sua encomenda não pode ser completada neste momento, pois não existem métodos de pagamento disponíveis."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","A sua encomenda não pode ser finalizada porque não existem métodos de envio disponíveis. Por favor faça as alterações necessários no seu endereço de envio"
"Your session has been expired, you will be relogged in now.","A sua sessão expirou, será agora reiniciada."
"Search","Procurar"
"Go","Ir"
"Search entire store here...","Procurar aqui na em toda a Loja"
"Compare Products","Comparar Produtos"
"Back to Main Product Info","Voltar à página do produto"
"You have no items to compare.","Não existem itens para comparar"
"Clear All","Limpar tudo"
"Search entire store here...","Search entire store here..."
"Search","Procurar"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Close","Close"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
